utterance,5W1H
"Hello Leroy,  Thank you for the response!  I definitely understand that you want to export the chat history that is saved on your mobile device. Unfortunately, that is not possible. This is because the chat conversations are stored in cloud. If you needed to compile the chat history, the only option I can suggest is to take a screenshot if it. But if that is needed for legal purposes, please check the private message I sent for further discussion.  If you have any questions and clarifications, please do not hesitate to reply back.","[0, 0, 0, 0, 0, 0]"
"Hi, I do not have any problem to take screenshot instead of export of chat history but the big problem is chat history which not avaliable as I told you before, actullay not need to legal purposes but its important information for myself , if there is any way to have it still I am waiting. regards titi","[0, 0, 0, 0, 0, 0]"
"Hello Leroy,  Thank you for the response.  If you can no longer see the past conversations, it means it has been stored in cloud. Chat conversations older than 30 days will no longer appear on your device as again it will be stored in cloud, only the current chat history will appear on your account.  ","[0, 0, 0, 0, 0, 0]"
"Hi, I understood all your explanations but I want to know Is there any way to have past converastion from cloud? If the answer is no , so what is the benefit of stored data in cloud? Regards titi","[1, 0, 0, 0, 0, 0]"
"Word and Excel open the start screen, but PowerPoint doesn't. I made sure that under Preferences the option ""show the Start screen when this application starts"" is checked. Even signed out and signed back in, but whenever I open PowerPoint, it doesn't load the Start screen. The version I'm running is 15.38 (170902). Any tips?","[0, 0, 1, 0, 0, 1]"
Did you try restarting your Mac after setting the preference?,"[0, 0, 0, 0, 0, 0]"
Yes. I did. Didn't make a difference.,"[0, 0, 0, 0, 0, 0]"
"Hi Darren,  To troubleshoot your issue, could you please provide the following information:  1.The version of your Mac OS.  2.Did the start screen of PowerPoint appear properly previously? If so, during this period, did you make any changes like downloading or updating some software?  3. I suggest you clear Office Preference file and check whether the issue persists:    a).First, make sure that Office is not running.    b).From Finder Go/Go to Folder... (Shift+Cmd+G).    c).Enter ""~/Library/Preferences"" and press Go (Return key).    d).Find the ""com.microsoft.office.plist"" folder.    e).Select and delete that folder using File/Move to Trash (Cmd+Delete).    f).Restart your Mac.    g).Try launching PowerPoint.  Please let us know the status once you've tried the above steps.    Regards, ZixuanCody","[0, 0, 0, 0, 0, 0]"
"Hi Darren,   Does the Start screen appear after deleting the preference file? Please let us know the result at your convenience.   Regards,","[0, 0, 0, 0, 0, 0]"
 Yep. That suggestion rectified the issue.  ,"[0, 0, 0, 0, 0, 0]"
"After an hour with text chat and no help from Microsoft on the phone, hope someone can help. by mistake, I have about 5 Skype addresses - so when someone searches for me they don't know which one to use.  I have set up a new skype account yesterday which I want to keep.  The rest I want to delete.  However they are linked to email addresses which I still use for work and need to access.  What do I need to do?","[0, 0, 1, 0, 0, 0]"
"Hi Emily,  First, deleting Skype account will be the same with deleting a Microsoft account. If you haven’t updated or migrated your Skype account to a Microsoft account, then you will need to go through it before deleting the account.  You may use a different Microsoft account (dummy email address) for each Skype accounts that you want to close, if you don’t want your main Microsoft account to be deleted.  You may use this FAQ article below for the steps on how to close a Skype account.  https://support.skype.com/en/faq/FA142/  Hope this information helps.  Thanks.","[0, 0, 0, 0, 0, 1]"
"If the account that you want to delete was registered by creating a Skype name or a username, then it’s a Skype account that needs to be updated or migrated first to a Microsoft account before it can be deleted.   Here’s are some FAQs article for more information on updating Skype to Microsoft.   Bringing Skype and Microsoft accounts together: https://support.skype.com/en/faq/FA34652/   A single sign-in for Skype and your other Microsoft services: https://support.skype.com/en/faq/FA34657/   Users that use email address or a phone number to sign in on Skype are technically a Microsoft accounts. If you will delete a Skype account that still haven’t been updated to a Microsoft account, then you will need to update it first in order for you to close that specific account. If you don’t want your Microsoft account to be deleted, then you can use a different Microsoft.   https://support.skype.com/en/faq/FA142/   Hope this information helps. Thanks.","[0, 0, 0, 0, 0, 0]"
"When I opened Windows 10 this AM and clicked on EDGE, the browser opened as usual but there was a duplicate small screen in the corner, taking up screen space.  How do I get full screen with only ONE window open? ***Post moved by the moderator to the appropriate forum category.***","[0, 0, 0, 0, 0, 0]"
" Hi,  Slow performance, crashes, or appearance of adware, toolbar, or popups are usually resolved by clearing the cache and cookies of Microsoft Edge. We suggest that you follow the steps provided on the link below and check if it resolves your concern: View and delete browser history in Microsoft Edge.  Let us know if you need further assistance.  Regards.  ","[0, 0, 0, 0, 0, 0]"
"I was reading responses, and I started trying different things, and then I solved my problem:  I had used the upper left to open a tab that created a small window...when I clicked again, it went away.  Thanks!--Mike L.","[0, 0, 1, 0, 0, 0]"
"An older friend had trouble with this just now and I resolved it for him by having him send me a screenshot.     At the top of the small screen you described in the corner, there is an ""X,"" the symbol microsoft uses for ""close."" next to that, there is a ""+"" and next to that there is a blue ""^""  The ""^"" is the symbol to slide up. Click the blue ""^"" and it will slide the larger window up and get rid of whatever this preview thing is.   Hope that helps. ","[1, 0, 0, 0, 0, 0]"
Thanks!--Mike L.,"[0, 0, 0, 0, 0, 0]"
"Hello, I have Skype on my PC (Windows) but because there is no cam, I cannot call people. I used to use my old Samsung Tablet but this is no longer supported by Skype due to the old OS. I have been given an iPad Air so I installed Skype using my email address. However, I was surprised to find that it did not have the Contacts from my Windows version. Perhaps I should have used my Skype ID instead of email address in setting it up? How do I get both versions to be the same? Do I have to uninstall it on iPad then reinstall - if so, how do I do this?? Can you help, please? Many thanks, Joseph","[0, 0, 0, 0, 0, 1]"
"Hi Joseph,  One of the possible reasons why you can’t see your regular Skype contacts is because you are not signed in to the right account.  Please make sure that when you are signing in to your  iPad, you're using Skype name and password instead of email address.  Once signed in, check your contact setting if it’s set to visible as you may unnoticeably hidden your contacts.  If you have further questions, kindly reply to this thread.  Thank you!  Marites P  Skype Community Moderator  ","[0, 0, 1, 1, 0, 0]"
"Hello Marites,  I sent you a reply email - many thanks for your assistance. I can now access the correct Skype account.  Thanks,  Joseph Cosgriff","[0, 0, 0, 0, 0, 0]"
"Hi Joseph,     You are most welcome! It was my pleasure to assist you, we’re glad to hear that you can now access your account.     Thank you!   Marites P   Skype Community Moderator","[0, 0, 0, 0, 0, 0]"
Somehow our family skype account got linked to my MS Windows Account. I want to unlink these. When I go to the account settings for Skype I can see that the skype account is linked to my windows account however there is no option to unlink them I need this changed - I cannot have a family account linked.,"[0, 0, 0, 0, 0, 1]"
"Hi John,  Welcome to Skype Community!   Once a Skype account has been linked to a Microsoft email address, it cannot be undone because unlinking of Skype accounts and Microsoft accounts is not available. Please refer to this link for more information: Click here.  I hope this answers your query.  Regards,","[0, 0, 0, 0, 0, 0]"
"I have the same problem, how to unlink???","[0, 0, 0, 0, 0, 1]"
"I am using bullets in my speaker notes section. There is too much space between the bullet and the first character of text. I have not been able to figure out a way to reduce this. I have tried several options in the Format > Paragraph > Indents and Spacing dialog, but none of them do what I expect/want. Thanks for your help!","[1, 0, 0, 0, 0, 0]"
"If you choose View>Notes Master on the Ribbon, or View>Master>Notes Master from the OS X menu, you can revise the bullets and indents used on your Notes pages.","[0, 0, 0, 0, 0, 0]"
"Lori,  Thanks for your reply. The issue is not how to set up the notes master, which as I understand it wouldn't affect any of the slides I've already developed (the entire presentation).   I do see that I can change the space between the bullet and the text on the Notes Master using the triangles in the ruler. But I don't see how to apply those changes to slides that have already been produced.  Is there a way?","[0, 0, 0, 0, 0, 1]"
"It sounds like you did it by applying local formatting rather than creating the correct formatting in your master. Local formatting is always more work to revise later, which is why I recommend using the master to begin with.  Here are steps to fix up what you've got:","[1, 0, 0, 1, 0, 0]"
"Badlydrawnboy,   I was having this same issue and ran across a good number of articles online that ignore the fact that you are trying to address bullet to text spacing with an indent IN THE NOTES. I realize I'm about a year too late to help you but I did figure it out for anyone else who encounters this same issue.  With the line in question in the notes selected. Click the pop out menu from the right bottom corner of the Paragraph menu on the Home tab.  Adjust the Indentation field  Before Text and Hanging by Fiends  that should help! It took me a little to figure it out but since I didn't see it anywhere else I figured I'd doodle it down somewhere. Cheers!","[0, 1, 0, 0, 1, 0]"
"When I search my first and last name on the bing and other search engine, a picture website comes up on the first page with maybe three individual links of multiple images that have my name tagged on to it. Will you be able to remove the links from the search result and/or the website with the images with my name on it?","[0, 0, 0, 0, 0, 0]"
"Hi,  In order for you to remove these search results from the web, you need to manually remove your name from these images from the websites concerned.  Regards.","[0, 0, 0, 0, 0, 0]"
"Thank you for replying so quickly.  So since these images aren't uploaded by me, who would I have to contact? The website and/or the webmaster to remove it? ","[0, 0, 0, 0, 1, 0]"
"If the photos were not uploaded by you, you can contact whoever uploaded the photos. Moreover, every website should have the option to report a photo (specifically a photo with you in it) that you want removed.","[0, 0, 0, 0, 1, 0]"
"Hi, My computer is rebooted many times. This issue is really annoying. I updated onboard graphic driver and apply the above link's answers: https://answers.microsoft.com/en-us/windows/forum/windows_7-performance/the-computer-has-rebooted-from-a-bugcheck/d54994f7-0d78-e011-8dfc-68b599b31bf5 Added memory dump: https://1drv.ms/u/s!Aj_USQJjuRJyk2sdL94Ychr8RaxU  Could you help me to fix this issue? <Provider Name=""Microsoft-Windows-WER-SystemErrorReporting"" Guid=""{ABCE23E7-DE45-4366-8631-84FA6C525952}"" EventSourceName=""BugCheck"" />   <EventID Qualifiers=""16384"">1001</EventID>   <Version>0</Version>   <Level>2</Level>   <Task>0</Task>   <Opcode>0</Opcode>   <Keywords>0x80000000000000</Keywords>   <TimeCreated SystemTime=""2017-07-13T06:00:39.000000000Z"" />   <EventRecordID>331825</EventRecordID>   <Correlation />   <Execution ProcessID=""0"" ThreadID=""0"" />   <Channel>System</Channel>   <Computer>xxx</Computer>   <Security />   </System> - <EventData>   <Data Name=""param1"">0x00000019 (0x0000000000000022, 0xfffff8a02a9c0000, 0x0000000000000001, 0x0000000000000000)</Data>   <Data Name=""param2"">C:WindowsMEMORY.DMP</Data>   <Data Name=""param3"">071317-11341-01</Data>   </EventData>   </Event>","[0, 0, 0, 0, 0, 0]"
"This crash was caused by Norton. Uninstall and reinstall it using the removal tool linked below, and if the issue persists, remove it and replace it with Microsoft Security Essentials.  fffff880`0b194e38  fffff880`0411106f*** ERROR: Module load completed but symbols could not be loaded for SRTSPX64.SYS<== Norton  SRTSPX64+0x1006f  fffff880`0b1962b8  fffff880`00e9c21f*** ERROR: Module load completed but symbols could not be loaded for PGPfsfd.sys<== Norton  PGPfsfd+0x2121f  fffff880`0b196348  fffff880`04a3aa02*** ERROR: Module load completed but symbols could not be loaded for BHDrvx64.sys<== Norton  BHDrvx64+0x1ea02  Download and run the Norton Remove and Reinstall tool. https://support.norton.com/sp/en/us/home/current/solutions/v60392881_EndUserProfile_en_us","[0, 0, 0, 0, 0, 0]"
Thank you so much. It solved my problem.,"[0, 0, 0, 0, 0, 0]"
"Hi again,  I didn't encounter any BS about 3 days. But now I encountered again. Could you help me?  My memory dump is here: https://1drv.ms/u/s!Aj_USQJjuRJyk2zy25NZSXjhWOp8  Thanks.","[0, 0, 0, 0, 0, 0]"
"Still Norton. Contact Norton for any known issues or simply remove and replace it with MSE, with the tool I mentioned earlier.  https://support.norton.com/sp/en/us/home/current/info?entsrc=redirect_pubweb   ","[0, 0, 0, 0, 0, 0]"
I aldready uninstalled Norton Antivirus 3 days ago. But I also have Symantec disk encryptor. Do you think that causes the BS?,"[0, 0, 0, 0, 0, 0]"
ffff880`09b03b80  fffffa80`0ec57728 fffff880`09b03b88  fffff880`011a4d92*** ERROR: Module load completed but symbols could not be loaded for PGPwded.sys PGPwded+0x22d92   PGPwded.sys: http://www.carrona.org/drivers/driver.php?id=PGPwded.sys,"[0, 0, 0, 0, 0, 0]"
I uninstalled the disk encryptor now there is now BS about 7 days. Thanks.,"[0, 0, 0, 0, 0, 0]"
"I have only just joined up.  I dont know what i am doing, but i was told i can add numbers onto my call list so they can be diverted.  i cant find anything in any menu and dont know how to do this.  any help would be greatly appreciated","[1, 0, 0, 0, 0, 1]"
"Hello, JonathanTaylor1  I believe what you are referring to is call forwarding.  Check these FAQ articles to see if this feature is what you are describing and if it meets your needs:  Kind regards, Elaine  ","[1, 0, 0, 0, 0, 0]"
Hello JonathanTaylor1 We've edited your post title to clarify your query.,"[0, 0, 0, 0, 0, 0]"
Apparently the Skype app for Sony Bravia TV is no longer supported.  It will not run on my tv that has a camera and mic dedicated to Skype and nothing else. Any chance this app will be updated under the Microsoft lable?,"[0, 0, 0, 0, 0, 0]"
Sony TV not TAV.  Sorry.,"[0, 0, 0, 0, 0, 0]"
"Skype for TV was discontinued last year, resulting in no more new applications being developed or released on that platform.  For those still with the applications installed, connectivity still existed through the middle of this year when major changes in the infrastructure rendered the older applications useless.  If you have an external mic/camera you can try connecting it to a PC running a supported version of Skype.  If the device is built-in then you can try to use it with another app/service, it if is supported.  Which Skype enabled devices or platforms are no longer supported?  ","[0, 0, 1, 0, 0, 0]"
"Hello, I have encountered two programs that ""stop working"" uppon startup.  The first is Microsoft Visual Studio 2017 Comunity Installer (not the actual program, the installer) and it gives the following error:  Problem signature:   Problem Event Name: BEX64   Application Name: vs_setup_bootstrapper.exe   Application Version: 1.11.2341.60754   Application Timestamp: 59a87418   Fault Module Name: StackHash_c6d7   Fault Module Version: 0.0.0.0   Fault Module Timestamp: 00000000   Exception Offset: PCH_54_FROM_ntdll+0x0000000000090C6A   Exception Code: c0000005   Exception Data: 0000000000000008   OS Version: 6.3.9600.2.0.0.768.101   Locale ID: 1033   Additional Information 1: c6d7   Additional Information 2: c6d7177f18e00ff82ab902718d1239fd   Additional Information 3: d987   Additional Information 4: d987967ef47cf7b2214177908b8fe4a4  Read our privacy statement online:   http://go.microsoft.com/fwlink/?linkid=280262  If the online privacy statement is not available, please read our privacy statement offline:   C:Windowssystem32en-USerofflps.txt  The second program that I am trying to start up and also stops working upon startup is the Citrix Receiver, a program that allows me to run programs that are installed on my university's computers from my own computer. It gives the following error:   Problem signature:   Problem Event Name: APPCRASH   Application Name: SelfService.exe   Application Version: 4.8.0.16700   Application Timestamp: 593ac96e   Fault Module Name: StackHash_5861   Fault Module Version: 0.0.0.0   Fault Module Timestamp: 00000000   Exception Code: c0000005   Exception Offset: PCH_53_FROM_ntdll+0x0003C8AC   OS Version: 6.3.9600.2.0.0.768.101   Locale ID: 1033   Additional Information 1: 5861   Additional Information 2: 5861822e1919d7c014bbb064c64908b2   Additional Information 3: 5f25   Additional Information 4: 5f2531ae070278f893fa99352dadd49e  Read our privacy statement online:   http://go.microsoft.com/fwlink/?linkid=280262  If the online privacy statement is not available, please read our privacy statement offline:   C:Windowssystem32en-USerofflps.txt   As you can see, both errors involve StackHash, I have no idea what it could be, I have tried a couple of things, like updating drivers, disabling SecureBoot in the BIOS (i read about it in a thread and gave it a try, with no luck) etc.  Anyone know what is going on? I am uing a Lenovo y410p, if you need my specs for whatever reason. Windows has been installed ""cleanly"", but the programs were running for a while. The most recent major even that happened was the removal of a bunch of viruses (over 250 files) through MalwareBytes, after I attempted to run an installer for something that ended up being a Pandora Box of viruses. Thanks in advance.","[1, 0, 0, 0, 0, 0]"
"Hi Kelsey,      There are a lot of possible factors for this matter to occur. To isolate the issue, we have some questions for you:    Were there any changes made before the issue occurred?  Have yu tried to download and install the latest graphic driver available on your manufacturer's website?  Aside from updating drivers and disabling SecureBoot on your BIOS, what other troubleshooting steps have you done so far?    What we can recommend is that you perform a clean boot and check if there are any changes.    Note: Reset the computer back to Normal Mode once you are done with the troubleshooting by following the section ""How to reset the computer to start normally after clean boot troubleshooting"" from the same article.    We'll be waiting for your response.    Regards.","[1, 0, 0, 0, 0, 0]"
In the end I reinstalled windows. Everything seems to be working now. I noticed the problems after I got all those viruses and deleted them with malwarebytes. ,"[0, 0, 0, 0, 0, 0]"
Thank you for your reply.  I followed your direction to uninstall the old version. It was a success! I clicked on the linked you gave me but the  version that came up is not the one you gave. It is lower. I want to get the latest version you gave me skype version for ios 8.5.1.    How will I get the  latest Skype for IOS?  Thank you  Brian,"[0, 0, 0, 0, 0, 0]"
"Hello Brian Braunmuller,   Welcome to Skype Community forum.   Unfortunately, that new version of Skype is only available for now at the iPhone device and not the Apple iPad, but maybe in the future, we can have a huge update, just like on the iPhone.   I hope this helps. Should you have further queries, please do not hesitate to reply to this post.   Regards,","[0, 0, 0, 0, 0, 0]"
" Hi I have the same issue , im paying subcription and feel shirt changed. ","[0, 0, 0, 0, 0, 0]"
"Hello Gabriel,  Thank you for viewing this post.  Let me just also set your expectation, that the new version of Skype is only available for mobile device for now and let’s see if there will be an update for the iPad users of Skype.  Thank you!  Regards,","[0, 0, 0, 0, 0, 0]"
"Does anyone when, if ever, Destiny: Rise of Iron, will be released alone of the Xbox One game store? The only thing available right now is ""The Collection"" for 60 bucks, and I already have the game and all the dlc up to this point. I have 30 dollars set out on my account already for Rise of Iron, but I can't purchase it alone. When I try, it says, ""Comes in a bundle only."" Please Help!","[0, 0, 1, 0, 0, 0]"
"Hi   We don’t generally deal with Xbox issues here on Microsoft Community. Instead, please see the following: Resources for Xbox Support   Hope that helps.","[0, 0, 0, 0, 0, 0]"
"I still can't find answer for this,won't let me purchase just dlc ","[0, 0, 0, 0, 0, 0]"
"Go to bungie.net and purchase it from there. That's what I ended up figuring out. You have to go to Bungie.net, and select Rise of Iron to buy. It'll ask what platform, select whichever one, assuming you need it for Xbox One, and you can choose to get it through the Xbox Games Store on the Bungie website, and you'll be redirected here, and you can purchase dlc only, not the collection. Then from here after purchase, it will download onto your console. Hope that helps.","[1, 0, 0, 0, 0, 0]"
"OK, sorry about that!","[0, 0, 0, 0, 0, 0]"
"I just signed in to Skype after a long time not using it and almost all of my contacts are gone. What happened? What has Microsoft done, or what has Skype done recently? Thanks, Edward","[1, 0, 0, 0, 0, 0]"
"Hello Edward Rudstrom,  Welcome to Skype Community forum!  I understand your concern. I would be more than glad to assist you.  To isolate the issue, please follow these steps: You may use this link to check how many accounts that is associated with your email address: click here  Let me know if you're still experiencing the issue. ","[0, 0, 0, 0, 0, 1]"
"Great, thanks for the help.  Now how do I delete the other accounts?  Thanks, Edward ","[0, 0, 0, 0, 0, 1]"
"Hello Edward Rudstrom,  Thank you for the response!  If you've signed in to Skype using your email address, it will generate a Microsoft account. If this is the account you want to close, please be informed that deleting it may also delete the existing Microsoft accounts associated with it. If you are using other email domains such as Yahoo!, Gmail, etc., you can still use the email for signing in to any other email account but can no longer be used to sign in to any Microsoft products.  If you still wanted to proceed with the deleting process, please refer to this link for the steps: How to close an account?  Note: Your account will be closed after 60 days but you if you change your mind anytime during the 60 day period, all you have to do is sign in to your account again to cancel the closure. ","[0, 0, 0, 0, 0, 0]"
Shortly after initial setup of mail app (Surface 2 / Windows RT 8.1) I opted to have my Gmail sync with my live.com (main) account.  I've subsequently decided I would prefer to have my Gmail be a separate account and would like to 'un-sync' my Gmail from showing up in the main account.  I haven't found any information on how to do this.  I can create and delete accounts w/o any problem but I haven't found anything on how to get Gmail separated from my main account.  Any help would be appreciated.  Thanks.,"[0, 0, 0, 0, 0, 1]"
"Hi,    If you have an account with a web service like Facebook, LinkedIn, or Twitter, you can add it to your Microsoft account. This connects the two accounts and allows specific info to be shared between them so you can use it in your apps and other places where you sign in with a Microsoft account. For example, if you add an account that contains your friends' contact info, you can choose to show that info in the People and Mail apps. Microsoft won’t share info associated with your Microsoft account without your permission. You’ll be asked to sign in to the account you're adding, and to decide which types of info you want to share between your accounts. Add an account to your Microsoft account Go to the Microsoft account overview webpage and sign in. Tap or click Permissions, and then tap or click Add accounts. Tap or click the account that you want to add, and follow the instructions. Remove an account from your Microsoft account Go to the Microsoft account overview webpage and sign in. Tap or click Permissions, and then tap or click Manage accounts. You’ll see a list of all the accounts that you’ve added to your Microsoft account. Tap or click Edit by the account you want to remove. Tap or click Remove this connection completely.","[0, 1, 0, 0, 0, 1]"
"Found it!  Lots of hunting but finally found it.  Log in at outlook.com  Select Options.  Select More mail settings.  Under Managing your account, select Your email accounts.  Gmail.com will be listed under Accounts you've added.  Select details.  You will be able to Edit or Delete it at this point.","[0, 0, 0, 0, 0, 0]"
"Michael,  Thank you for the response.  Found that Microsoft account overview -- Permissions -- Managing accounts only adds/manages the apps & services you give/gave permission to access your Microsoft account.  In my case it only listed my Nook app.","[0, 0, 0, 0, 0, 0]"
 help i cant find it ,"[0, 0, 0, 0, 0, 0]"
i cannot find more mail settings or your e4mail accounts. I can find connected accounts. Is that the same thing?  Someone please help me.,"[0, 0, 0, 0, 0, 0]"
"Would I need to use all three of these match types or are they all the same because there are no spaces: northdakotamaps ""northdakotamaps"" [northdakotamaps] Thanks Mark","[0, 0, 0, 0, 0, 0]"
"Hi, Julie! Thank you for your question, and Happy Saturday!   If you were to use all three match types with that keyword, the system would have some conflict deciding on what to serve. Generally speaking, the system usually goes for the most exact/specific match to the query, but there have been quite a few times where the system doesn't display an ad because of the multiple match type conflict. Therefore, it would be in your best interests to decide on 1 or 2 match types instead of all 3.  Now, choosing the right match type depends on your advertising goal. If you are looking for as much traffic as possible, even if the query may not be 100% what you are advertising, I would select the broad match type. If your objective is to draw towards a certain user, but don't want to limit the keyword too much, then select the phrase match type. But, if you only want your ad to serve if a user types in your keyword exactly, with nothing else in the query, your best option is exact match.  You can find out more about match types in the following links:  - What are keyword match types, and how do I use them?  - Using broad match and broad match modifier  - Keyword match options  If you have any other questions or concerns about this, feel free to reply to this response, chat in, or contact our Support Team for your region.  Hope this helps! Have an awesome day!","[1, 1, 0, 0, 0, 1]"
"Hi Mark,  Shortest answer to your question:   Single word Broad Match & Phrase Match keyword will work in a similar manner. Adding in Exact Match means search term will trigger when exactly someone is searching for northdakotamaps with no additional words before and after. So if you want to add single word keyword as mentioned in your question. IMO, you can add in broad and exact.  Hope that makes sense! Thanks Stephanie","[0, 0, 1, 0, 0, 0]"
As like in equations we can add a dot over any letter by writing 'dot' or a double dot by 'ddot' . Is there any way to do the  same while writing it in normal text and not in equations?,"[0, 0, 0, 0, 0, 0]"
"The special characters are either extended ASCII characters. You can insert any extended characters by holding down the Alt key and typing the decimal equivalent for the character on the numeric keypad on your keyboard. You can search for the extended ASCII set and find the decimal equivalents. If you want a shortcut, you can create a macro to type them in and attach it to an hot key.","[0, 0, 0, 0, 0, 0]"
"In normal text also, if you can write a letter followed by dot or ddot which should be followed by either a spacebar or enter key.","[0, 0, 0, 0, 0, 0]"
ASCII couldn't help. Instead Unicode  solved my problem.  1) 0307  2) 0308  are the unicodes for it.,"[0, 0, 0, 0, 0, 0]"
"Yes, but it required a special setting. Which I found in autocorrect. There might be other ways to do this. What I did is: Insert> Symbols > More symbols > Autocorrect > Math AutoCorrect > ""Find that option here""","[0, 0, 0, 0, 0, 0]"
Unicode is an extension of ASCII. Some of the characters you asked about are in the Kevinxtended ASCII. Without knowing the specific characters I couldn't be more specific. I'm glad you found the decimal codes you needed. Hope my advice helped some.,"[0, 0, 0, 0, 0, 0]"
Yes. Thanks a lot.,"[0, 0, 0, 0, 0, 0]"
We have recently upgraded our user machines to Office 2007 and since then we have been unable to open either pps or ppsx files directly into IE. Instead they launch in edit view in the local user's PowerPoint 2007 application. I have the correct MIME and all users have the PowerPoint 2007 viewer and prohram. Can anyone help me figure out how to have the pps/x show open in IE?   Thank you,"[0, 0, 0, 0, 0, 1]"
"Hi, Check out this link - Control how the browser opens PowerPoint files - http://www.pptfaq.com/FAQ00189.htm Regards, Kurt Pillai. http://skp.mvps.org","[0, 0, 0, 0, 0, 1]"
"Somehow I have solved it. This problem only appeared after updating Office recently.   I went to the properties of a file saved as .ppsx which would open in power point in the edit mode instead of opening as a slide show. In the properties I went to Change how it opens then clicked on Power Point and clicked apply and OK. I saw that the icon had changed slightly and saw that the icons of all my .ppsx files had slightly changed and all the .ppsx files now open as a slide show and no longer in PP as an edit file.   Don’t know what happened but think that when you work in Power Point and save the file as a.ppsx it really does not save it as a.ppsx but as a .pptx (as it says it must in the Options in the PP program!!) by changing how it opens afterwards it has magically adopted the.ppsx and changed all the files with that suffix to open as shows!  Think it bypasses the glitch in the actual programme where it states in Options – Save that it must save as a presentation with no alternative such as a show.  In Power Point click on File then on Options and then on Save . There it says ""save files in this format"" there are four or five options but all are Presentations and there is no option to select anything else. Although when you select Power Point Show when you save the file it subliminaly saves it as a Presentation as the Options lays down. In the properties of the file you select Poer Point again as the program to open the file , appl and OK and it accepts the .ppsx suffix (and all similar ones on your PC.","[1, 1, 1, 0, 0, 1]"
"Can't see any place where I can record a personal greeting for voice mail, so that my own voice can tell folks i'm not available, instead of the canned  Skype voice.  If this is possible, please describe, step by step, very specifically how to find the place in the user interface to do it.  I cannot find it. Skype on Android version 7.46.0.596","[0, 1, 0, 0, 0, 1]"
With AT&T and others the voice mail greeting is done through the carrier.,"[0, 0, 0, 0, 0, 0]"
"Hi Stephanie,   Welcome to the Skype Community forum.   I know how important it is for you to personalize your voicemail greeting. But apparently, it's no longer supported. Instead, Skype will use the default message for your app language. Learn more about Skype voice messaging.  We apologize for the inconvenience. Please let us know if you have any other questions or concerns.    Rhiza_EMichelle Skype Community Moderator","[0, 0, 0, 0, 0, 1]"
"Error message when signing in to Skype on IPad: Unable to connect to Microsoft, check your network settings.Skype version 6.35.54. After I reinstalled the latest version, it worked only once and afterward, I get this error message every time I try to sign in to Skype.","[0, 0, 1, 0, 0, 0]"
"Hello TylerFogg,   Welcome to Skype Community!  Please provide us the iOS version of your iPad.  The required iOS version for iPad is iOS 8 or higher and for the new Skype on iOS requires iOS 9 or higher.  For more information, click here.  Hope this helps. Let me know if you need further assistance.  Thank you! ","[0, 0, 0, 0, 0, 0]"
The ios version is 9.3.5 and the Ipad model is MC707LL/A. I am not sure if it is Ipad 2 or not.  Problem is not resolved. I read somewhere that the Skype version for Ipad is 6.35.1 and I do not think I can get the older version back. Can you clarify this?  Thanks for your help!  Tyler   MayTyler,"[0, 1, 0, 0, 0, 0]"
"Hello TylerFogg,     We want to create the best possible app experience for our Skype users which means we must make some changes along the way. These decisions are hard to make but will enable us to focus our efforts on transitioning Skype from a peer-to-peer video and chat app to a modern, mobile friendly cloud architecture.    Skype on the cloud means you can access all of your chats and shared images on any device with the same Skype account and consume less battery power.   With these, we can no longer get back to the older version of Skype for iPad 6.35.1.   Alternatively, you can uninstall and reinstall Skype for iPad.   To uninstall Skype for iPad, simply touch and hold the Skype icon on your home screen until the icon begins to shake and an “x” appears in the corner of the Skype icon. Release the icon and then tap the “x”. This will delete Skype from iPad. Reboot your device. Reinstall Skype from the App Store and do another reboot before signing back in to Skype.   Hope this helps. Let me know if you need further assistance.   Thank you! ","[0, 0, 0, 0, 0, 0]"
"Hi Susan_S,  I did everything you suggested and I still get the same error message. Also, it took forever for the Skype site to get back to my IPad when I tried to sign in. I really appreciate your help! What else can I try? I miss using Skype to talk to my siblings abroad. Thank you! Tyler","[0, 0, 1, 0, 0, 0]"
"Hi Susan_S,  I just tried to log into Skype again, and miraculously, it worked! I hope it stays that way. Thank you so much for your help!  Tyler","[0, 0, 0, 0, 0, 0]"
"Hello TylerFogg,   Thank you for letting us know that Skype is now working on your end!  You can saved this thread if you'll encounter the same issue in the future.  It has been a pleasure working with you!  Thank you! ","[0, 0, 0, 0, 0, 0]"
"Hello I would like some help with conditional formatting as what I am looking for has a few variables I have  a table  Column A list of names  Columns C- M are blank but sometimes have a ""Y"" in the cell. What I am wanting is to highlight the cells in columns C-M if there is a ""Y"" within the cell, but only when the cell in column B which is in the same row has been left blank.   Thanks Michelle","[1, 0, 1, 0, 0, 0]"
" Hi Michelle,  Select columns C to M. In Home menu click Conditional Formatting and then New Rule In the window that opens click Use a formula to determine which cells to format Then put this formula:  =AND($B1="""",COUNTA($B1:$M1))  Choose the color you want to color the cells.   Hope this helps.  IlirUDebbie  If my reply answer your question, then please mark it as Answered.  ","[0, 0, 0, 0, 0, 0]"
Hi  Your answer is for Windows Excel. The Mac version has a slightly different wording.  Instead of: In the window that opens click Use a formula to determine which cells to format  It should say for the Mac: In the window that opens click Classic,"[0, 0, 0, 0, 0, 0]"
